type;code;intitule;intituleSansArticle;typeArticle;dateCreation;dateSuppression
Commune;97601;Acoua;Acoua;1;2011-03-31;
Commune;97602;Bandraboua;Bandraboua;0;2011-03-31;
Commune;97603;Bandrele;Bandrele;0;2011-03-31;
Commune;97604;Bouéni;Bouéni;0;2011-03-31;
Commune;97605;Chiconi;Chiconi;0;2011-03-31;
Commune;97606;Chirongui;Chirongui;0;2011-03-31;
Commune;97607;Dembeni;Dembeni;0;2011-03-31;
Commune;97608;Dzaoudzi;Dzaoudzi;0;2023-08-27;
Commune;97609;Kani-Kéli;Kani-Kéli;0;2011-03-31;
Commune;97610;Koungou;Koungou;0;2011-03-31;
Commune;97611;Mamoudzou;Mamoudzou;0;2023-08-27;
Commune;97612;Mtsamboro;Mtsamboro;0;2011-03-31;
Commune;97613;M'Tsangamouji;M'Tsangamouji;0;2011-03-31;
Commune;97614;Ouangani;Ouangani;1;2011-03-31;
Commune;97615;Pamandzi;Pamandzi;0;2011-03-31;
Commune;97616;Sada;Sada;0;2011-03-31;
Commune;97617;Tsingoni;Tsingoni;0;2011-03-31;
